date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:05:17	1045/1045	---M-Z	200	added ('OK')	text/xml	etag:W/%22609108b6-415%22	https://votesaveamerica.com/wp-includes/wlwmanifest.xml	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-includes/wlwmanifest.xml	(from https://votesaveamerica.com/forthepeople/)
22:05:20	124398/124398	---M-Z	200	added ('OK')	application/json	date:Wed,%2005%20May%202021%2005:05:07%20GMT	https://votesaveamerica.com/wp-json/	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-json/index.html	(from https://votesaveamerica.com/forthepeople/)
22:05:23	2433/2433	---M-Z	200	added ('OK')	application/json	date:Wed,%2005%20May%202021%2005:05:18%20GMT	https://votesaveamerica.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fvotesaveamerica.com%2Fforthepeople%2F	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-json/oembed/1.0/embed0ad0.json	(from https://votesaveamerica.com/forthepeople/)
22:05:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20May%202021%2005:05:15%20GMT	https://votesaveamerica.com/?p=5421	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/indexf7f0.html	(from https://votesaveamerica.com/forthepeople/)
22:05:23	2530/2530	---M-Z	200	added ('OK')	text/xml	date:Wed,%2005%20May%202021%2005:05:21%20GMT	https://votesaveamerica.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fvotesaveamerica.com%2Fforthepeople%2F&format=xml	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-json/oembed/1.0/embed9b58	(from https://votesaveamerica.com/forthepeople/)
22:05:23	1743/1743	---M--	200	added ('OK')	image/png	etag:%225e3352b0-6cf%22	https://votesaveamerica.com/wp-content/uploads/2020/01/cropped-favicon-32x32.png	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/uploads/2020/01/cropped-favicon-32x32.png	(from https://votesaveamerica.com/forthepeople/)
22:05:34	11519/11519	---M--	200	added ('OK')	image/png	etag:%225e3352b0-2cff%22	https://votesaveamerica.com/wp-content/uploads/2020/01/cropped-favicon-192x192.png	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/uploads/2020/01/cropped-favicon-192x192.png	(from https://votesaveamerica.com/forthepeople/)
22:05:34	10586/10586	---M--	200	added ('OK')	image/png	etag:%225e3352b0-295a%22	https://votesaveamerica.com/wp-content/uploads/2020/01/cropped-favicon-180x180.png	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/uploads/2020/01/cropped-favicon-180x180.png	(from https://votesaveamerica.com/forthepeople/)
22:05:37	82/82	---M--	200	added ('OK')	image/png	etag:%22d81e7d755ed33737bab884f533595dfc%22	https://res.cloudinary.com/crooked-media/image/upload/f_auto/c_scale,w_1,h_1/v1614137517/for-the-people-hero-desktop-scaled_vh6ltq.jpg	/home/josephpeha/websites/vote-save-america/res.cloudinary.com/crooked-media/image/upload/f_auto/c_scale,w_1,h_1/v1614137517/for-the-people-hero-desktop-scaled_vh6ltq.png	(from https://votesaveamerica.com/forthepeople/)
22:05:40	82/82	---M--	200	added ('OK')	image/png	etag:%2229d7c0ae2ef9bb3c88c19419fab08e84%22	https://res.cloudinary.com/crooked-media/image/upload/f_auto/c_scale,w_1,h_1/v1614137465/for-the-people-hero-mobile_amqqxq.jpg	/home/josephpeha/websites/vote-save-america/res.cloudinary.com/crooked-media/image/upload/f_auto/c_scale,w_1,h_1/v1614137465/for-the-people-hero-mobile_amqqxq.png	(from https://votesaveamerica.com/forthepeople/)
22:05:40	26034/26034	---M--	200	added ('OK')	image/png	etag:%222535fd76761ec8def40c099bc5ce4964%22	https://res.cloudinary.com/crooked-media/image/upload/v1579637889/the-candidates-stciker_yzgjju.png	/home/josephpeha/websites/vote-save-america/res.cloudinary.com/crooked-media/image/upload/v1579637889/the-candidates-stciker_yzgjju.png	(from https://votesaveamerica.com/forthepeople/)
22:05:40	254005/254005	---M--	200	added ('OK')	image/jpeg	etag:%227739861c8a547e90afbd7646c9b0e828%22	https://res.cloudinary.com/crooked-media/image/upload/v1614117508/how-this-bill-becomes-law_yclg6x.jpg	/home/josephpeha/websites/vote-save-america/res.cloudinary.com/crooked-media/image/upload/v1614117508/how-this-bill-becomes-law_yclg6x.jpg	(from https://votesaveamerica.com/forthepeople/)
22:05:40	253818/253818	---M--	200	added ('OK')	image/jpeg	etag:%22be0374e7911b8ff1e6ada3052ee289db%22	https://res.cloudinary.com/crooked-media/image/upload/v1586808529/phone-bg-v2_dhklst.jpg	/home/josephpeha/websites/vote-save-america/res.cloudinary.com/crooked-media/image/upload/v1586808529/phone-bg-v2_dhklst.jpg	(from https://votesaveamerica.com/forthepeople/)
22:06:06	321764/321764	---M--	200	added ('OK')	image/png	etag:%22b13ee45da69c8cfba96b900f04bc33dd%22	https://res.cloudinary.com/crooked-media/image/upload/v1586801197/sticker-5_xfkrxk.png	/home/josephpeha/websites/vote-save-america/res.cloudinary.com/crooked-media/image/upload/v1586801197/sticker-5_xfkrxk.png	(from https://votesaveamerica.com/forthepeople/)
22:06:09	82/82	---M--	200	added ('OK')	image/png	etag:%22b66dca29c5d1c8e4eac2ddc7d0986555%22	https://res.cloudinary.com/crooked-media/image/upload/f_auto,q_auto/c_scale,w_1,h_1/v1614121124/stand-up-america-logo_vnluut.png	/home/josephpeha/websites/vote-save-america/res.cloudinary.com/crooked-media/image/upload/f_auto,q_auto/c_scale,w_1,h_1/v1614121124/stand-up-america-logo_vnluut.png	(from https://votesaveamerica.com/forthepeople/)
22:06:12	46694/46694	---M--	200	added ('OK')	image/png	etag:%2297188517e9ad81df34d2569ec9e7d5d1%22	https://res.cloudinary.com/crooked-media/image/upload/v1614122332/ethics-reform-scale_pmfrgq.png	/home/josephpeha/websites/vote-save-america/res.cloudinary.com/crooked-media/image/upload/v1614122332/ethics-reform-scale_pmfrgq.png	(from https://votesaveamerica.com/forthepeople/)
22:06:15	82/82	---M--	200	added ('OK')	image/png	etag:%225426b988f939c1173056bee74825096d%22	https://res.cloudinary.com/crooked-media/image/upload/f_auto,q_auto/c_scale,w_1,h_1/v1614121125/indivisible-logo_zl8lai.png	/home/josephpeha/websites/vote-save-america/res.cloudinary.com/crooked-media/image/upload/f_auto,q_auto/c_scale,w_1,h_1/v1614121125/indivisible-logo_zl8lai.png	(from https://votesaveamerica.com/forthepeople/)
22:06:15	82/82	---M--	200	added ('OK')	image/png	etag:%225f35135ccf3b30ae3601fab2d9fac8bf%22	https://res.cloudinary.com/crooked-media/image/upload/f_auto,q_auto/c_scale,w_1,h_1/v1614121125/brennan-center-logo_u66rz3.png	/home/josephpeha/websites/vote-save-america/res.cloudinary.com/crooked-media/image/upload/f_auto,q_auto/c_scale,w_1,h_1/v1614121125/brennan-center-logo_u66rz3.png	(from https://votesaveamerica.com/forthepeople/)
22:06:15	87225/87225	---M--	200	added ('OK')	image/png	etag:%22142c782a027515adc7a7ae25f2a4b270%22	https://res.cloudinary.com/crooked-media/image/upload/v1614122167/finance_hvc4bm.png	/home/josephpeha/websites/vote-save-america/res.cloudinary.com/crooked-media/image/upload/v1614122167/finance_hvc4bm.png	(from https://votesaveamerica.com/forthepeople/)
22:06:27	1434/1434	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%2260658ab9-59a%22	https://votesaveamerica.com/wp-includes/js/wp-embed.min.js?ver=5.6	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-includes/js/wp-embed.min40df.js	(from https://votesaveamerica.com/forthepeople/)
22:06:31	421689/421689	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22608ff383-66f39%22	https://votesaveamerica.com/wp-content/themes/vsa/compiled/js/app.js?ver=1620104803	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/themes/vsa/compiled/js/app37c4.js	(from https://votesaveamerica.com/forthepeople/)
22:06:34	2433/2433	---M-Z	200	added ('OK')	application/json	date:Wed,%2005%20May%202021%2005:06:28%20GMT	https://votesaveamerica.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fvotesaveamerica.com%2Fes%2Fforthepeople%2F	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-json/oembed/1.0/embedc3f2.json	(from https://votesaveamerica.com/es/forthepeople/)
22:06:40	2530/2530	---M-Z	200	added ('OK')	text/xml	date:Wed,%2005%20May%202021%2005:06:35%20GMT	https://votesaveamerica.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fvotesaveamerica.com%2Fes%2Fforthepeople%2F&format=xml	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-json/oembed/1.0/embedd233	(from https://votesaveamerica.com/es/forthepeople/)
22:06:53	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20May%202021%2005:06:38%20GMT	http://votesaveamerica.com/robots.txt		(from https://votesaveamerica.com/forthepeople/)
22:07:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20May%202021%2005:06:53%20GMT	http://s.w.org/robots.txt		(from https://votesaveamerica.com/forthepeople/)
22:07:06	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20May%202021%2005:06:29%20GMT	https://votesaveamerica.com/es/?p=5421	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/es/indexf7f0.html	(from https://votesaveamerica.com/es/forthepeople/)
22:07:13	882/882	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Wed,%2005%20May%202021%2005:07:10%20GMT	https://votesaveamerica.com/wp-json/wp/v2/pages/5421	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-json/wp/v2/pages/5421.json	(from https://votesaveamerica.com/forthepeople/)
22:07:13	882/882	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Wed,%2005%20May%202021%2005:07:10%20GMT	https://votesaveamerica.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fvotesaveamerica.com%2Fforthepeople%2F	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-json/oembed/1.0/embed0ad0.json	(from https://votesaveamerica.com/forthepeople/)
22:07:17	124398/124398	--F---	200	added ('OK%20(cached)')	text/html		https://votesaveamerica.com/wp-json/	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-json/index.html	(from https://votesaveamerica.com/forthepeople/)
22:07:31	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20May%202021%2005:07:14%20GMT	http://votesaveamerica.com/	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/index.html	(from https://votesaveamerica.com/forthepeople/)
22:07:31	882/882	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Wed,%2005%20May%202021%2005:07:14%20GMT	https://votesaveamerica.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fvotesaveamerica.com%2Fforthepeople%2F&format=xml	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-json/oembed/1.0/embed9b58	(from https://votesaveamerica.com/forthepeople/)
22:07:31	882/882	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Wed,%2005%20May%202021%2005:07:28%20GMT	https://votesaveamerica.com/wp-content/uploads/2020/01/cropped-favicon-32x32.png	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/uploads/2020/01/cropped-favicon-32x32.png	(from https://votesaveamerica.com/forthepeople/)
22:07:31	882/882	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Wed,%2005%20May%202021%2005:07:29%20GMT	https://votesaveamerica.com/wp-content/uploads/2020/01/cropped-favicon-192x192.png	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/uploads/2020/01/cropped-favicon-192x192.png	(from https://votesaveamerica.com/forthepeople/)
22:07:31	882/882	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Wed,%2005%20May%202021%2005:07:29%20GMT	https://votesaveamerica.com/wp-content/uploads/2020/01/cropped-favicon-180x180.png	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/uploads/2020/01/cropped-favicon-180x180.png	(from https://votesaveamerica.com/forthepeople/)
22:07:31	0/0	UR-M--	404	error ('Not%20Found')	image/gif	date:Wed,%2005%20May%202021%2005:07:30%20GMT	https://res.cloudinary.com/crooked-media/image/upload/v1579637889/the-candidates-stciker_yzgjju.png	/home/josephpeha/websites/vote-save-america/res.cloudinary.com/crooked-media/image/upload/v1579637889/the-candidates-stciker_yzgjju.png	(from https://votesaveamerica.com/forthepeople/)
22:07:31	55182/55182	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2005:07:31%20GMT	https://votesaveamerica.com/wp-content/themes/vsa/webfonts/gtamerica/GT-America-Standard-Bold.svg	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/themes/vsa/webfonts/gtamerica/GT-America-Standard-Bold.1a.delayed	(from https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1620104803)
22:07:38	254005/254005	URF---	200	added ('OK%20(cached)')	image/jpeg		https://res.cloudinary.com/crooked-media/image/upload/v1614117508/how-this-bill-becomes-law_yclg6x.jpg	/home/josephpeha/websites/vote-save-america/res.cloudinary.com/crooked-media/image/upload/v1614117508/how-this-bill-becomes-law_yclg6x.jpg	(from https://votesaveamerica.com/forthepeople/)
22:07:38	82/82	URF---	200	added ('OK%20(cached)')	image/png		https://res.cloudinary.com/crooked-media/image/upload/f_auto/c_scale,w_1,h_1/v1614137517/for-the-people-hero-desktop-scaled_vh6ltq.jpg	/home/josephpeha/websites/vote-save-america/res.cloudinary.com/crooked-media/image/upload/f_auto/c_scale,w_1,h_1/v1614137517/for-the-people-hero-desktop-scaled_vh6ltq.png	(from https://votesaveamerica.com/forthepeople/)
22:07:38	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	text/xml	etag:W/%22609108b6-415%22	https://votesaveamerica.com/wp-includes/wlwmanifest.xml	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-includes/wlwmanifest.xml	(from https://votesaveamerica.com/forthepeople/)
22:07:38	253818/253818	URF---	200	added ('OK%20(cached)')	image/jpeg		https://res.cloudinary.com/crooked-media/image/upload/v1586808529/phone-bg-v2_dhklst.jpg	/home/josephpeha/websites/vote-save-america/res.cloudinary.com/crooked-media/image/upload/v1586808529/phone-bg-v2_dhklst.jpg	(from https://votesaveamerica.com/forthepeople/)
22:07:42	55182/55182	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2005:07:39%20GMT	https://votesaveamerica.com/wp-content/themes/vsa/webfonts/gtamerica/GT-America-Standard-Bold-Italic.svg	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/themes/vsa/webfonts/gtamerica/GT-America-Standard-Bold-Italic.1b.delayed	(from https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1620104803)
22:07:43	55182/55182	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2005:07:40%20GMT	https://votesaveamerica.com/wp-content/themes/vsa/webfonts/gtamerica/GT-America-Standard-Black.svg	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/themes/vsa/webfonts/gtamerica/GT-America-Standard-Black.svg	(from https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1620104803)
22:07:46	87225/87225	URF---	200	added ('OK%20(cached)')	image/png		https://res.cloudinary.com/crooked-media/image/upload/v1614122167/finance_hvc4bm.png	/home/josephpeha/websites/vote-save-america/res.cloudinary.com/crooked-media/image/upload/v1614122167/finance_hvc4bm.png	(from https://votesaveamerica.com/forthepeople/)
22:07:46	321764/321764	URF---	200	added ('OK%20(cached)')	image/png		https://res.cloudinary.com/crooked-media/image/upload/v1586801197/sticker-5_xfkrxk.png	/home/josephpeha/websites/vote-save-america/res.cloudinary.com/crooked-media/image/upload/v1586801197/sticker-5_xfkrxk.png	(from https://votesaveamerica.com/forthepeople/)
22:07:50	46694/46694	URF---	200	added ('OK%20(cached)')	image/png		https://res.cloudinary.com/crooked-media/image/upload/v1614122332/ethics-reform-scale_pmfrgq.png	/home/josephpeha/websites/vote-save-america/res.cloudinary.com/crooked-media/image/upload/v1614122332/ethics-reform-scale_pmfrgq.png	(from https://votesaveamerica.com/forthepeople/)
22:07:53	55182/55182	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2005:07:47%20GMT	https://votesaveamerica.com/wp-content/themes/vsa/webfonts/gtamerica/GT-America-Standard-Black-Italic.svg	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/themes/vsa/webfonts/gtamerica/GT-America-Standard-Black-Italic.1d.delayed	(from https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1620104803)
22:08:00	882/882	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Wed,%2005%20May%202021%2005:07:50%20GMT	https://votesaveamerica.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fvotesaveamerica.com%2Fes%2Fforthepeople%2F	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-json/oembed/1.0/embedc3f2.json	(from https://votesaveamerica.com/es/forthepeople/)
22:08:00	55182/55182	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2005:07:58%20GMT	https://votesaveamerica.com/wp-content/themes/vsa/webfonts/gtamerica/GT-America-Condensed-Bold.svg	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/themes/vsa/webfonts/gtamerica/GT-America-Condensed-Bold.svg	(from https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1620104803)
22:08:00	882/882	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Wed,%2005%20May%202021%2005:07:58%20GMT	https://votesaveamerica.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fvotesaveamerica.com%2Fes%2Fforthepeople%2F&format=xml	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-json/oembed/1.0/embedd233	(from https://votesaveamerica.com/es/forthepeople/)
22:08:00	82/82	URF---	200	added ('OK%20(cached)')	image/png		https://res.cloudinary.com/crooked-media/image/upload/f_auto,q_auto/c_scale,w_1,h_1/v1614121124/stand-up-america-logo_vnluut.png	/home/josephpeha/websites/vote-save-america/res.cloudinary.com/crooked-media/image/upload/f_auto,q_auto/c_scale,w_1,h_1/v1614121124/stand-up-america-logo_vnluut.png	(from https://votesaveamerica.com/forthepeople/)
22:08:00	82/82	URF---	200	added ('OK%20(cached)')	image/png		https://res.cloudinary.com/crooked-media/image/upload/f_auto,q_auto/c_scale,w_1,h_1/v1614121125/indivisible-logo_zl8lai.png	/home/josephpeha/websites/vote-save-america/res.cloudinary.com/crooked-media/image/upload/f_auto,q_auto/c_scale,w_1,h_1/v1614121125/indivisible-logo_zl8lai.png	(from https://votesaveamerica.com/forthepeople/)
22:08:00	82/82	URF---	200	added ('OK%20(cached)')	image/png		https://res.cloudinary.com/crooked-media/image/upload/f_auto,q_auto/c_scale,w_1,h_1/v1614121125/brennan-center-logo_u66rz3.png	/home/josephpeha/websites/vote-save-america/res.cloudinary.com/crooked-media/image/upload/f_auto,q_auto/c_scale,w_1,h_1/v1614121125/brennan-center-logo_u66rz3.png	(from https://votesaveamerica.com/forthepeople/)
22:08:00	55182/55182	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2005:07:59%20GMT	https://votesaveamerica.com/wp-content/themes/vsa/webfonts/gtamerica/GT-America-Condensed-Bold-Italic.svg	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/themes/vsa/webfonts/gtamerica/GT-America-Condensed-Bold-Italic.svg	(from https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1620104803)
22:08:00	55182/55182	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2005:08:01%20GMT	https://votesaveamerica.com/wp-content/themes/vsa/webfonts/gtamerica/GT-America-Condensed-Black.svg	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/themes/vsa/webfonts/gtamerica/GT-America-Condensed-Black.svg	(from https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1620104803)
22:08:08	55182/55182	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2005:08:04%20GMT	https://votesaveamerica.com/wp-content/themes/vsa/webfonts/gtamerica/GT-America-Condensed-Black-Italic.svg	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/themes/vsa/webfonts/gtamerica/GT-America-Condensed-Black-Italic.svg	(from https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1620104803)
22:08:08	238/238	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2260657536-ee%22	https://votesaveamerica.com/wp-content/themes/vsa/images/icon-external-link-white.svg	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/themes/vsa/images/icon-external-link-white.svg	(from https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1620104803)
22:08:08	226/226	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226065b3ea-e2%22	https://votesaveamerica.com/wp-content/themes/vsa/images/icon-external-link.svg	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/themes/vsa/images/icon-external-link.svg	(from https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1620104803)
22:08:08	118/118	---M--	200	added ('OK')	image/png	etag:%22606f0691-76%22	https://votesaveamerica.com/wp-content/themes/vsa/images/gradient-mobile.png	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/themes/vsa/images/gradient-mobile.png	(from https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1620104803)
22:08:11	145/145	---M--	200	added ('OK')	image/png	etag:%2260658ab6-91%22	https://votesaveamerica.com/wp-content/themes/vsa/images/gradient-desktop.png	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/themes/vsa/images/gradient-desktop.png	(from https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1620104803)
22:08:11	882/882	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Wed,%2005%20May%202021%2005:08:09%20GMT	https://votesaveamerica.com/wp-content/themes/vsa/images/gradient-mobile.png	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/themes/vsa/images/gradient-mobile.png	(from https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1620104803)
22:08:11	1207/1207	---M--	200	added ('OK')	image/png	etag:%2260771ed6-4b7%22	https://votesaveamerica.com/wp-content/themes/vsa/images/graphic-line-red.png	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/themes/vsa/images/graphic-line-red.png	(from https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1620104803)
22:08:11	797/797	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22608fad62-31d%22	https://votesaveamerica.com/wp-content/themes/vsa/images/graphic-squiggle.svg	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/themes/vsa/images/graphic-squiggle.svg	(from https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1620104803)
22:08:11	17957/17957	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22606f2dea-4625%22	https://votesaveamerica.com/wp-content/themes/vsa/images/swirl-alt.svg	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/themes/vsa/images/swirl-alt.svg	(from https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1620104803)
22:08:26	14529/14529	---M--	200	added ('OK')	image/png	etag:%2260658ab6-38c1%22	https://votesaveamerica.com/wp-content/themes/vsa/images/graphic-drawn-circle.png	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/themes/vsa/images/graphic-drawn-circle.png	(from https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1620104803)
22:08:26	1760/1760	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2260881858-6e0%22	https://votesaveamerica.com/wp-content/themes/vsa/images/rainbow-strip-small.svg	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/themes/vsa/images/rainbow-strip-small.svg	(from https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1620104803)
22:08:30	1093/1093	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2260883a2d-445%22	https://votesaveamerica.com/wp-content/themes/vsa/images/rainbow-strip-large.svg	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/themes/vsa/images/rainbow-strip-large.svg	(from https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1620104803)
